treatment,replicate,wavenumber,absorbance
trt1,rep2,7.925999E+02,6.75E-03
trt1,rep2,7.945283E+02,6.83E-03
trt1,rep2,7.964568E+02,6.33E-03
trt1,rep2,7.983853E+02,5.72E-03
trt1,rep2,8.003137E+02,5.21E-03
trt1,rep2,8.022422E+02,5.22E-03
trt1,rep2,8.041707E+02,5.27E-03
trt1,rep2,8.060991E+02,5.37E-03
trt1,rep2,8.080276E+02,5.18E-03
trt1,rep2,8.099561E+02,5.05E-03
trt1,rep2,8.118845E+02,4.87E-03
trt1,rep2,8.138130E+02,4.67E-03
trt1,rep2,8.157415E+02,4.42E-03
trt1,rep2,8.176699E+02,4.08E-03
trt1,rep2,8.195984E+02,3.52E-03
trt1,rep2,8.215269E+02,3.40E-03
trt1,rep2,8.234553E+02,3.37E-03
trt1,rep2,8.253838E+02,3.07E-03
trt1,rep2,8.273123E+02,2.48E-03
trt1,rep2,8.292407E+02,2.22E-03
trt1,rep2,8.311692E+02,1.88E-03
trt1,rep2,8.330977E+02,1.43E-03
trt1,rep2,8.350261E+02,1.10E-03
trt1,rep2,8.369546E+02,1.00E-03
trt1,rep2,8.388831E+02,7.27E-04
trt1,rep2,8.408115E+02,5.13E-04
trt1,rep2,8.427400E+02,3.27E-04
trt1,rep2,8.446685E+02,5.52E-04
trt1,rep2,8.465969E+02,6.22E-04
trt1,rep2,8.485254E+02,5.91E-04
trt1,rep2,8.504539E+02,4.17E-04
trt1,rep2,8.523823E+02,3.57E-04
trt1,rep2,8.543108E+02,3.17E-04
trt1,rep2,8.562393E+02,2.19E-04
trt1,rep2,8.581677E+02,-1.52E-06
trt1,rep2,8.600962E+02,3.94E-04
trt1,rep2,8.620247E+02,9.29E-04
trt1,rep2,8.639531E+02,1.14E-03
trt1,rep2,8.658816E+02,1.32E-03
trt1,rep2,8.678101E+02,1.92E-03
trt1,rep2,8.697385E+02,2.59E-03
trt1,rep2,8.716670E+02,3.03E-03
trt1,rep2,8.735955E+02,3.31E-03
trt1,rep2,8.755239E+02,3.85E-03
trt1,rep2,8.774524E+02,4.29E-03
trt1,rep2,8.793809E+02,4.90E-03
trt1,rep2,8.813093E+02,5.64E-03
trt1,rep2,8.832378E+02,6.37E-03
trt1,rep2,8.851663E+02,6.84E-03
trt1,rep2,8.870947E+02,7.54E-03
trt1,rep2,8.890232E+02,8.20E-03
trt1,rep2,8.909517E+02,9.20E-03
trt1,rep2,8.928801E+02,1.03E-02
trt1,rep2,8.948086E+02,1.13E-02
trt1,rep2,8.967371E+02,1.18E-02
trt1,rep2,8.986655E+02,1.19E-02
trt1,rep2,9.005940E+02,1.16E-02
trt1,rep2,9.025225E+02,1.11E-02
trt1,rep2,9.044509E+02,1.06E-02
trt1,rep2,9.063794E+02,1.02E-02
trt1,rep2,9.083079E+02,9.74E-03
trt1,rep2,9.102363E+02,9.79E-03
trt1,rep2,9.121648E+02,9.94E-03
trt1,rep2,9.140933E+02,1.03E-02
trt1,rep2,9.160217E+02,1.08E-02
trt1,rep2,9.179502E+02,1.15E-02
trt1,rep2,9.198787E+02,1.19E-02
trt1,rep2,9.218071E+02,1.25E-02
trt1,rep2,9.237356E+02,1.33E-02
trt1,rep2,9.256641E+02,1.42E-02
trt1,rep2,9.275925E+02,1.50E-02
trt1,rep2,9.295210E+02,1.59E-02
trt1,rep2,9.314495E+02,1.66E-02
trt1,rep2,9.333779E+02,1.73E-02
trt1,rep2,9.353064E+02,1.80E-02
trt1,rep2,9.372349E+02,1.90E-02
trt1,rep2,9.391633E+02,2.00E-02
trt1,rep2,9.410918E+02,2.09E-02
