treatment,replicate,wavenumber,absorbance
trt1,rep1,8.157759E+02,6.06E-02
trt1,rep1,8.177045E+02,6.02E-02
trt1,rep1,8.196330E+02,5.98E-02
trt1,rep1,8.215615E+02,5.94E-02
trt1,rep1,8.234901E+02,5.88E-02
trt1,rep1,8.254186E+02,5.86E-02
trt1,rep1,8.273472E+02,5.83E-02
trt1,rep1,8.292758E+02,5.80E-02
trt1,rep1,8.312043E+02,5.77E-02
trt1,rep1,8.331328E+02,5.74E-02
trt1,rep1,8.350614E+02,5.70E-02
trt1,rep1,8.369899E+02,5.65E-02
trt1,rep1,8.389185E+02,5.63E-02
trt1,rep1,8.408470E+02,5.65E-02
trt1,rep1,8.427756E+02,5.62E-02
trt1,rep1,8.447041E+02,5.58E-02
trt1,rep1,8.466327E+02,5.55E-02
trt1,rep1,8.485612E+02,5.53E-02
trt1,rep1,8.504897E+02,5.52E-02
trt1,rep1,8.524183E+02,5.51E-02
trt1,rep1,8.543469E+02,5.48E-02
trt1,rep1,8.562754E+02,5.49E-02
trt1,rep1,8.582040E+02,5.50E-02
trt1,rep1,8.601325E+02,5.50E-02
trt1,rep1,8.620610E+02,5.50E-02
trt1,rep1,8.639896E+02,5.51E-02
trt1,rep1,8.659182E+02,5.51E-02
trt1,rep1,8.678467E+02,5.52E-02
trt1,rep1,8.697753E+02,5.54E-02
trt1,rep1,8.717038E+02,5.56E-02
trt1,rep1,8.736323E+02,5.58E-02
trt1,rep1,8.755609E+02,5.60E-02
trt1,rep1,8.774894E+02,5.62E-02
trt1,rep1,8.794180E+02,5.66E-02
trt1,rep1,8.813466E+02,5.71E-02
trt1,rep1,8.832751E+02,5.77E-02
trt1,rep1,8.852036E+02,5.83E-02
trt1,rep1,8.871322E+02,5.90E-02
trt1,rep1,8.890607E+02,5.97E-02
trt1,rep1,8.909893E+02,6.02E-02
trt1,rep1,8.929178E+02,6.05E-02
trt1,rep1,8.948464E+02,6.11E-02
trt1,rep1,8.967749E+02,6.11E-02
trt1,rep1,8.987034E+02,6.08E-02
trt1,rep1,9.006320E+02,6.05E-02
trt1,rep1,9.025605E+02,6.02E-02
trt1,rep1,9.044891E+02,5.97E-02
trt1,rep1,9.064177E+02,5.93E-02
trt1,rep1,9.083462E+02,5.91E-02
trt1,rep1,9.102747E+02,5.89E-02
trt1,rep1,9.122033E+02,5.88E-02
trt1,rep1,9.141318E+02,5.90E-02
